ADLINK,ADLINK（えーでぃーりんく）は、産業用電子機器メーカー。
Advantech,ADVANTECH（アドバンテック）は台湾のマザーボードおよび産業用向けコンピューターメーカー。
Ams_AG,Ams AG ams  は、オーストリアシュタイアーマルク州に本拠を置く、高性能アナログ集積回路（IC）の設計及び製造をする企業である。コーポレート・ミッションは“Shaping the world with sensor solutions（センサーソリューションで世界を牽引）”である。日本法人はamsジャパン株式会社。
AOpen,AOpen Inc.（エーオープン インコーポレイテッド 繁体字:建碁股有限公司）とは、マザーボード、光ディスクドライブ、入力装置などのコンピュータパーツを製造する台湾の電機メーカーである。
Archos,Archos (アルコス、アーコス、英語: [rkos]) は、フランスの家電メーカーである。1988年に Henri Crohas が創業した。社名は創業者 Crohas の姓のアナグラムであり、同時にギリシア語の 'master' (αρχο) を意味する。スローガンは当初の Think Smaller から On The Go となり、最近では Entertainment your way となっている。Archos は他にもポータブルオーディオプレーヤー、ポータブルメディアプレーヤー、PVP（ポータブルビデオプレーヤー）、ハードディスクレコーダー、携帯情報端末などを開発・製造している。
ARMホールディングス,"ARMホールディングス (ARM Holdings plc) はイギリスのケンブリッジに本社を置く持株会社。傘下の事業会社である""ARM Ltd.""によるARMアーキテクチャ、RealView や KEIL というブランドのプログラミングツール、システムおよびプラットフォーム、System-on-a-chip基板とソフトウェアなどの開発で知られている。ケンブリッジ周辺のハイテク企業集積地（シリコンフェン）内では良く知られた企業である。"
ASTI,ASTI株式会社（アスティ）は、静岡県浜松市南区に本社を置く車載電装品や電子基板などを製造、販売するメーカーである。
ASUS,ASUSTeK Computer Inc.（エイスーステック・コンピューター・インク）は、台湾の台北市に本社を置くPCおよびPCパーツ、周辺機器製造メーカー。日本法人はASUS JAPAN株式会社。「ASUS」の日本語での正式な読みは、現在「エイスース」とされている（発音に関する経緯は下記を参照）。
Atmel,アトメル（英: Atmel Corporation、NASDAQ: ATML）は、アメリカの半導体製造業者であり、マイクロコントローラ、メモリなどを主に製造販売している。
Bloom_Energy_Japan,ブルームエナジージャパン株式会社（英: Bloom Energy Japan Ltd.）は、K. R. Sridharが設立した米国のBloom Energy CorporationとソフトバンクグループのSBパワーマネジメントの折半出資子会社。燃料電池Bloom Energy Serverから発電される電力を販売している。親会社の一つソフトバンク孫正義社長は「システムを買う必要はない。システムにかかるコストや変動するガス料金のリスクはわれわれが吸収して25円で提供することをコミットする」と紹介している。
CAテクノロジーズ,"CA Technologies（シーエー- テクノロジーズ　以下CA，NASDAQ: CA）は、ニューヨーク州に本社を置くコンピュータソフトウェア企業。1976年、コンピュータ・アソシエイツ (Computer Associates International, Inc.) としてチャールズ・ワングが創設した。"
CEC_(企業),CEC株式会社（シーイーシー）は、1954年（昭和29年）に創立されたCDプレーヤー、アンプ等のオーディオ機器の開発、販売を行う日本の企業。本社は群馬県邑楽郡大泉町。ベルトドライブ方式のCDプレーヤー等の技術を持つ。
CSR_(電気機器),"株式会社CSR（英称：CSR, Inc.）は、日本の無線通信機器・音響機器の企画・製造・販売を行う会社である。"
DFI,DFI（ディエフアイ）は台湾のマザーボードメーカー。
DXアンテナ,"DXアンテナ株式会社（ディーエックスアンテナ、DX ANTENNA CO.,LTD.）は、テレビ用受信アンテナ等を製造・販売する日本の電気機器メーカーである。1953年8月1日創業（有限会社関西テレビジョン研究所）、1956年9月1日会社設立。1966年1月に現社名になり、2001年に船井電機の子会社となった。本社所在地は兵庫県神戸市兵庫区浜崎通2番15号。"
EIZO,EIZO株式会社（英: EIZO Corporation ）は、ディスプレイ装置専業メーカー。EIZOブランドのディスプレイ装置を製造、販売している。本社所在地は石川県白山市下柏野町153。東京証券取引所市場第一部上場（証券コード6737）。1990年代のCRT全盛期からディスプレイ機器の画質と信頼性に定評がある。
EMCコーポレーション,EMCコーポレーション（英: EMC Corporation）は、アメリカ合衆国マサチューセッツ州ホプキントンに本社を置く世界最大のストレージ機器開発企業。情報管理ソフトウェアの開発にも注力している。企業向け製品として、ディスクアレイ装置やストレージ管理ソフトウェアを製造。主要製品は、大規模データセンターなどでよく使われているストレージエリアネットワークの基盤となる Symmetrix である。また、CLARiX はEMCがデータゼネラルを取得した際に製品として追加された。
Euro-Pro_Operating_LLC,Euro-Pro Operating LLC（ユーロプロ・オペレーティング・エルシーシー）とは、家庭用電気機械器具を製造、販売する米国マサチューセッツ州の企業。
FDK,FDK株式会社（エフディーケイ、英文社名:FDK Corporation）は、古河グループの電子部品や電池などを製造するメーカー。
